participant_id,name_title,first_name,last_name,age,postcode,marital_status,education,job_title,occupation_level,education_num,familiarity_FB,view_FB,interested_insurance,company_email,created_account
7.00128E+12,,Jeffrey,Pearce,49,SN3F 2DG,Married-civ-spouse,HS-grad,"Education officer, community",6,12,7,2,1,seanfowler@norman.com,No
2.9814E+12,,Robin,Davies,23,BS4 0WR,Never-married,Assoc-acdm,"Conservator, museum/gallery",8,16,2,7,1,ysingh@morgan.biz,No
2.71877E+12,,Dylan,Sinclair,20,EH1R 4LY,Never-married,Some-college,Event organiser,6,13,4,7,0,gordon08@slater-mistry.info,No
5.96715E+12,Mr.,Joseph,May,45,EH92 6TW,Divorced,Bachelors,Horticultural therapist,4,17,5,3,1,taylorlydia@taylor-chapman.com,No
6.5522E+12,,Ricky,Mitchell,30,LS1 6GQ,Married-civ-spouse,Some-college,Health and safety inspector,4,13,6,4,1,clive90@hale.com,No
8.61961E+11,Mr.,Leonard,Harvey,22,EH49 6WU,Married-civ-spouse,Some-college,Human resources officer,4,13,7,5,1,wmiddleton@james.biz,No
4.98491E+12,,Glen,Bennett,48,EH7 7ES,Never-married,11th,Medical physicist,8,9,6,7,0,natalietaylor@morris.com,No
1.57792E+12,,Rhys,Newman,21,EH7W 0ZU,Never-married,Some-college,Academic librarian,9,13,2,1,0,abates@collins.net,No
1.53435E+12,,Luke,Morley,19,EH25 8AE,Married-AF-spouse,HS-grad,Cartographer,10,12,1,9,0,lewismolly@fox.net,No
3.3865E+12,,Callum,Fox,31,BS9 1EE,Married-civ-spouse,Some-college,Chiropodist,10,13,5,4,0,joan84@fox-wood.com,No
2.24576E+12,Mr.,Leon,Stephens,48,G9D 2PL,Married-civ-spouse,Assoc-acdm,Microbiologist,8,16,9,6,1,rogermason@marshall.net,No
5.20144E+11,Mr.,Norman,Watkins,31,EH30 2QJ,Married-civ-spouse,9th,Insurance account manager,12,6,3,2,0,smithchelsea@johnson.com,No
6.69699E+12,,Kevin,Gray,53,SN3 6NH,Married-civ-spouse,Bachelors,"Accountant, chartered certified",7,17,8,6,1,wcross@harper.com,No
6.75263E+12,Mr.,Mohamed,Rowe,24,EN7 6BH,Married-civ-spouse,Bachelors,Administrator,5,17,4,7,1,morganben@fisher.biz,No
3.69918E+12,Mrs.,Louis,Robertson,49,EH9H 2WR,Separated,HS-grad,Farm worker,1,12,3,7,0,jamesjay@williams.net,No
3.9266E+12,,Max,Hill,25,EH2U 8YN,Never-married,HS-grad,"Engineer, civil (consulting)",3,12,1,5,1,ashleighlane@booth-begum.net,No
98988590736,Mr.,Garry,Wilson,57,SN8X 3FR,Married-civ-spouse,Bachelors,Futures trader,15,17,3,4,1,joe55@jones.com,No
3.65217E+12,,Andrew,Barker,53,SN7 8GU,Married-civ-spouse,HS-grad,Health service manager,10,12,3,8,0,mariewatson@rose.net,No
5.2866E+12,Miss,Ricky,Collier,44,W5 8DS,Divorced,Masters,Artist,4,18,4,4,0,xiqbal@webster-white.net,No
9.33274E+12,Mr.,Maurice,Whitehead,41,EH8E 8QD,Married-civ-spouse,Assoc-voc,Geophysicist/field seismologist,7,14,4,2,1,ebarker@todd.com,No
3.97818E+12,,Leigh,Smith,29,BS7W 9QQ,Never-married,Assoc-voc,Insurance claims handler,7,14,7,2,0,swalsh@stephens-bond.com,No
2.89712E+12,Mrs.,Henry,Taylor,25,EH9T 6FQ,Married-civ-spouse,Some-college,Call centre manager,8,13,1,5,1,kate41@connor-edwards.com,No
9.55629E+12,Ms.,Lee,Bradshaw,18,EH16 8GL,Never-married,HS-grad,"Designer, ceramics/pottery",4,12,8,7,1,jane43@lewis.net,No
2.73837E+12,Mrs.,Shane,Thornton,47,SN3S 2NF,Married-civ-spouse,Prof-school,Clothing/textile technologist,10,20,2,8,1,kathrynharding@nelson.info,Yes
9.98165E+12,,Martin,Bryant,50,SN07 1PB,Divorced,Bachelors,"Designer, jewellery",5,17,6,8,0,aburgess@francis-harris.com,No
3.23606E+12,Mr.,Timothy,Parkes,47,G9 6UR,Divorced,HS-grad,Microbiologist,8,12,9,4,0,ddavies@kent.com,No
8.61811E+12,,Reece,Hunt,43,B0C 7ZG,Married-civ-spouse,Some-college,Cartographer,10,13,2,3,1,dwilliams@anderson.net,No
1.37846E+11,,Terence,Davey,46,EH11 8AU,Married-civ-spouse,5th-6th,Geophysicist/field seismologist,7,4,2,5,0,lindseydunn@griffiths.com,No
7.05277E+12,Mr.,Samuel,Powell,35,EH76 8NW,Married-civ-spouse,Assoc-voc,Commissioning editor,8,14,5,4,0,brendataylor@cook.com,No
5.62249E+12,Mr.,Victor,Palmer,41,EH3B 3US,Married-civ-spouse,HS-grad,Professorial Teaching Assistant,10,12,6,9,1,samanthahill@lowe.net,No
1.01558E+12,,Shane,Smith,30,EH0B 5BD,Married-civ-spouse,HS-grad,"Engineer, civil (consulting)",3,12,3,4,1,lbray@french-wilson.org,No
4.07515E+12,Mr.,Edward,Brown,30,EH40 6RP,Married-civ-spouse,Bachelors,"Designer, ceramics/pottery",4,17,6,2,1,liampatel@smart.com,No
1.32193E+12,Mr.,Bryan,Jones,32,EH3 8TE,Married-spouse-absent,7th-8th,Human resources officer,4,5,2,3,1,williamscallum@watson.com,No
1.16963E+11,,Jake,Cooper,48,EH9 3XQ,Married-civ-spouse,HS-grad,Interpreter,12,12,7,9,0,mahmoodbernard@robinson-leach.com,No
9.88675E+12,Dr.,Bryan,Schofield,42,SN0 7LL,Married-civ-spouse,Doctorate,Police officer,14,21,6,8,1,katiejordan@flynn-bell.org,Yes
6.92641E+12,Mr.,Gerald,Robinson,29,EH78 3WX,Divorced,Some-college,Airline pilot,14,13,1,9,0,youngashleigh@ahmed.com,No
6.50509E+12,Mr.,Malcolm,Nixon,36,LS12 0XB,Married-civ-spouse,HS-grad,"Administrator, sports",4,12,6,9,0,gemmamitchell@dixon-nicholls.com,No
5.58943E+11,Ms.,Adrian,Smart,28,EH7T 1SH,Divorced,Some-college,Contractor,10,13,8,2,0,jayneleach@cox-brown.com,No
3.04313E+12,,Ben,Begum,53,OX92 1PD,Married-civ-spouse,HS-grad,"Education officer, community",6,12,3,3,0,leonsharp@ellis-cooper.org,No
1.96622E+12,,Damien,White,49,NW74 5DX,Married-civ-spouse,Some-college,Medical physicist,8,13,8,8,0,morgancharlene@carr.net,No
4.91729E+12,Mr.,George,Jones,25,EH80 0LW,Never-married,Some-college,"Librarian, public",2,13,6,5,1,jayne40@walker.com,No
8.2816E+12,,Jake,Perry,19,EH2W 1YW,Never-married,Some-college,Farmer,2,13,6,9,0,thomas51@john-newman.com,No
1.24185E+12,Ms.,Steven,Wood,31,EH9 4NE,Separated,Bachelors,Facilities assistant,1,17,5,5,1,vhopkins@kelly.com,No
2.11596E+12,,Howard,Harris,29,LS11 0RG,Married-civ-spouse,Bachelors,Biomedical scientist,9,17,2,2,1,jonesaimee@page.com,No
3.94146E+11,,Ashley,Jackson,23,EH7 3ZN,Never-married,Some-college,Charity officer,10,13,4,1,0,mohammedpalmer@evans.com,No
7.69014E+12,Mr.,Sam,Collins,79,LS6 2UF,Married-civ-spouse,Some-college,Land/geomatics surveyor,2,13,1,3,1,wbell@ball.info,No
9.16661E+12,,Glen,Fraser,27,EH0 5QX,Never-married,HS-grad,Store Assistant,1,12,4,9,0,ucunningham@atkins.org,No
9.68922E+12,Mr.,Alex,Jones,40,LS8W 8LW,Married-civ-spouse,Assoc-acdm,Special educational needs teacher,7,16,1,2,0,fgibbons@riley.com,No
7.83214E+12,Mr.,Elliott,Wright,67,EH0S 2LQ,Married-civ-spouse,10th,Building control surveyor,7,8,4,1,0,zoe88@atkinson-rogers.org,No
2.91236E+12,Mrs.,Harry,Boyle,18,EH5R 0HQ,Never-married,11th,Health and safety adviser,4,9,2,4,0,elliswilliam@browne.com,No
9.6101E+12,Mr.,Marcus,Edwards,31,EH0 2UH,Married-civ-spouse,7th-8th,"Engineer, land",3,5,2,7,0,reedgeorge@davies.com,No
9.4825E+12,Mr.,Barry,Martin,18,EH0 4SZ,Never-married,HS-grad,"Engineer, manufacturing",6,12,8,8,0,james89@nicholls-bailey.info,No
5.03145E+12,Mr.,Colin,Warren,52,L1 8DT,Married-civ-spouse,Bachelors,Insurance broker,12,17,4,5,0,robinsonjamie@brookes.com,No
5.14086E+12,,Oliver,Hall,46,OX86 2UY,Married-civ-spouse,HS-grad,Lexicographer,3,12,7,2,1,osmith@jones-lewis.org,No
6.06942E+11,,Phillip,James,59,SN3V 2RU,Married-civ-spouse,HS-grad,Clinical psychologist,8,12,8,3,1,maureen97@thomas.com,No
2.38409E+12,,Aaron,Phillips,44,EH2B 6GN,Divorced,HS-grad,President,18,12,6,6,1,amandariley@booth.com,Yes
7.56401E+12,Miss,Elliott,Francis,53,EH6 9NR,Divorced,HS-grad,"Therapist, drama",2,12,6,4,1,ocrawford@thompson-davies.com,No
5.02603E+12,,Sam,Roberts,49,SN0B 0BD,Married-civ-spouse,HS-grad,Fisheries officer,15,12,6,7,1,denise08@murphy.com,No
8.97024E+12,Mr.,Oliver,Evans,33,SN85 3EF,Married-civ-spouse,Masters,Microbiologist,8,18,3,10,1,beverley51@bates.info,No
9.09443E+11,Mr.,Brett,Baker,30,EH5 6BF,Never-married,9th,"Engineer, civil (consulting)",3,6,5,8,0,patricia03@bennett-buckley.com,No
8.64275E+12,Ms.,Mathew,Ingram,43,SK7Y 3FR,Never-married,Doctorate,Animal nutritionist,8,21,8,8,1,katieford@davies.org,No
2.87054E+12,,Leonard,Clarke,57,EH3S 6SS,Married-civ-spouse,Assoc-voc,Armed forces operational officer,11,14,10,1,0,anneanderson@begum.net,No
5.04097E+12,,Daniel,Burton,37,EH5H 9EX,Divorced,Some-college,"Designer, textile",5,13,4,1,0,mitchellcatherine@barrett.info,No
2.40074E+12,,Glen,Jones,28,EH9A 0BF,Divorced,Some-college,Construction Worker,1,13,8,2,1,franklinshaun@hall.com,No
4.25391E+11,Miss,Bernard,Godfrey,30,EH80 7DB,Married-civ-spouse,HS-grad,Amenity horticulturist,6,12,4,5,0,karllord@white.info,No
6.06516E+11,Mr.,Christian,Hayes,34,SN5V 6ZL,Married-civ-spouse,Bachelors,Interpreter,12,17,8,7,1,lucybutler@leonard.com,No
5.2357E+12,,Arthur,Jones,29,EH99 8SR,Never-married,Some-college,Counselling psychologist,10,13,3,8,0,mglover@frost-burgess.com,No
7.29765E+12,Dr.,Ian,Smith,48,SN9F 4HL,Married-civ-spouse,Doctorate,Counselling psychologist,10,21,2,10,1,charlene49@harper.com,Yes
2.77496E+12,Mr.,Brandon,Farrell,37,L40 6PQ,Married-civ-spouse,Some-college,Event organiser,6,13,8,5,0,vwelch@ellis-oconnor.com,No
5.53503E+12,,Timothy,Saunders,48,EH34 9PT,Divorced,Assoc-acdm,Clinical psychologist,8,16,3,5,1,joel03@smith.biz,No
1.45968E+12,Mr.,Brandon,Carter,32,EH60 7NA,Never-married,HS-grad,Counsellor,6,12,3,4,1,allenmelissa@griffin.com,No
1.3388E+12,Mr.,Leon,Campbell,76,S7C 4QN,Married-civ-spouse,Masters,Clothing/textile technologist,10,18,6,5,1,clarkegerard@allan.net,No
5.34805E+12,,Graeme,Ward,44,SN66 2PY,Married-civ-spouse,Bachelors,"Designer, blown glass/stained glass",11,17,6,3,0,beverley36@taylor.info,Yes
3.73946E+12,Mrs.,Stuart,Shah,47,OX3 4DL,Never-married,Masters,Hotel manager,4,18,9,3,0,uhowe@fowler-ferguson.com,No
1.61467E+12,Miss,Reece,Pollard,20,EH1 1NX,Never-married,Some-college,Immigration officer,12,13,6,2,0,hugh43@barrett-jones.info,No
4.14585E+12,,Gregory,Turner,29,EH5 4LJ,Never-married,HS-grad,Chiropodist,10,12,8,2,0,bethan98@clark-davey.biz,No
9.87933E+12,Mr.,Kenneth,Thomas,32,SN3 8TP,Married-civ-spouse,HS-grad,Insurance underwriter,12,12,4,6,1,declanshaw@taylor.com,Yes
9.4432E+12,Miss,Phillip,Hammond,17,EH26 6BX,Never-married,10th,Acupuncturist,2,8,6,3,0,srobinson@sanders.net,No
7.36633E+12,,Stewart,Douglas,30,EH45 0UW,Never-married,11th,Herbalist,4,9,6,6,1,mitchellabdul@doyle-stevens.org,No
8.49568E+12,Mrs.,Callum,Davidson,31,EH21 9FN,Never-married,HS-grad,"Engineer, manufacturing",6,12,9,3,1,melanie45@campbell.biz,No
7.48196E+12,,Jonathan,Lloyd,42,LS00 1RT,Married-civ-spouse,HS-grad,"Geneticist, molecular",9,12,9,6,0,walkernicholas@cook.com,No
8.95352E+12,Mr.,Joe,Clarke,24,EH2X 2RD,Never-married,Bachelors,Environmental health practitioner,6,17,6,7,1,awilkinson@jones-webb.biz,No
9.48651E+11,Mr.,Roy,McLean,38,LS48 1DA,Married-civ-spouse,Prof-school,Amenity horticulturist,6,20,3,4,1,aarmstrong@howe.info,No
4.35462E+12,,James,Foster,56,SN4N 4HD,Married-civ-spouse,HS-grad,Medical physicist,8,12,4,10,1,lydianash@khan.com,Yes
2.92951E+12,Ms.,Peter,Singh,28,EH6B 2PX,Married-civ-spouse,Some-college,Local government officer,13,13,10,7,0,naomipowell@lee.net,No
3.93868E+12,Ms.,Karl,Roberts,36,EH0 7EU,Never-married,HS-grad,Dealer,5,12,4,4,1,harrismatthew@walker.info,No
3.27948E+12,Mr.,Graeme,Myers,53,LS53 4QW,Married-civ-spouse,9th,"Journalist, broadcasting",7,6,3,2,0,fionalloyd@thompson.com,No
5.54967E+12,Mr.,Raymond,Dickinson,56,SN18 6TD,Married-civ-spouse,Some-college,Horticultural therapist,4,13,4,8,0,steven64@hughes.com,No
2.52689E+12,,Nathan,Pearson,49,SN6 7UZ,Married-civ-spouse,Assoc-voc,Event organiser,6,14,7,3,0,carolyn46@norris.com,No
4.39203E+12,,Malcolm,Rees,55,SN21 3WB,Married-civ-spouse,Some-college,Colour technologist,10,13,7,8,0,maxodonnell@ryan.net,No
3.42736E+12,,Max,Wilson,22,EH4 7RA,Never-married,HS-grad,Human resources officer,4,12,8,4,1,irene10@todd.com,No
4.28491E+12,Mrs.,John,Morley,21,EH26 0YQ,Never-married,Some-college,Intern Artist,1,13,9,4,1,christianwhite@green.com,No
6.07511E+12,,Darren,Jones,40,SN08 8ZY,Married-civ-spouse,Bachelors,Advertising account planner,13,17,6,6,0,martinalex@mills.com,No
5.16147E+12,Mr.,Cameron,Clayton,30,EH8U 7NP,Never-married,Bachelors,Teaching Assistant,7,17,5,1,0,jakesmith@gordon-ryan.com,No
4.51589E+11,,Colin,Harrison,29,SN5X 4NJ,Married-civ-spouse,Bachelors,Communications engineer,10,17,9,6,0,stephanie08@wilkinson-bennett.net,No
1.70935E+12,,Eric,Reed,19,EH6Y 7UL,Never-married,Some-college,Dealer,5,13,7,5,1,clareprice@lane.com,No
4.58763E+11,Ms.,Shane,Morris,47,DL70 2TS,Married-civ-spouse,Bachelors,Event organiser,6,17,6,10,0,xhanson@peters-wall.info,No
2.74895E+11,Miss,Roy,Osborne,20,EH6H 5NJ,Never-married,Some-college,Biomedical engineer,9,13,2,3,0,rowemandy@evans-hart.com,No
5.87203E+12,,Donald,Dobson,31,L64 7ND,Married-civ-spouse,Assoc-acdm,Assistant Professor,13,16,2,4,0,opatel@oneill.info,No
5.05051E+12,,Dennis,Coles,35,LS3E 3ZH,Married-civ-spouse,HS-grad,Counselling psychologist,10,12,5,5,0,leahgarner@bailey.info,No
6.09037E+12,,Brandon,Bennett,39,LS1 7BZ,Divorced,Some-college,Land/geomatics surveyor,2,13,8,8,0,stevensjune@thomas.com,No
8.47108E+11,Mrs.,Ryan,Farmer,28,EH64 0TS,Never-married,Assoc-acdm,"Embryologist, clinical",3,16,6,1,1,barbara71@walker-payne.com,No
2.4734E+12,Miss,Wayne,Williams,24,EH55 6NQ,Never-married,HS-grad,Automotive engineer,6,12,6,8,0,qevans@jones.com,No
4.06324E+12,Mr.,Peter,Matthews,38,OX6S 3ZQ,Married-civ-spouse,HS-grad,Market researcher,8,12,6,5,0,sean87@matthews.info,No
4.2094E+12,Mr.,Terry,Gough,37,SN06 2YH,Married-civ-spouse,Bachelors,Armed forces operational officer,11,17,6,2,1,bethanybarnes@lamb.net,No
8.30981E+12,Mrs.,Wayne,Jackson,46,EH92 5LJ,Divorced,Assoc-acdm,Armed forces operational officer,11,16,3,3,0,heather60@ryan-davey.com,No
8.37236E+12,Mr.,Stewart,Kent,38,SN82 8AF,Married-civ-spouse,Masters,Airline pilot,14,18,7,3,0,barneskieran@ali.com,No
4.36702E+12,,Francis,Singh,43,EH0C 1BX,Married-civ-spouse,HS-grad,Chiropodist,10,12,1,4,1,alexandra90@lee-cole.com,No
8.17833E+12,Mrs.,Ashley,Howells,27,OX5N 4HT,Married-civ-spouse,Assoc-voc,Broadcast engineer,9,14,3,8,0,rharvey@payne.com,No
89761987300,Mr.,Brian,Evans,20,EH6B 9YG,Never-married,Some-college,Dietitian,4,13,2,6,0,mharvey@smith.com,No
9.80751E+12,,Cameron,Kaur,49,FY4 2PL,Married-civ-spouse,Some-college,Games developer,9,13,8,6,1,simonturner@thompson.biz,No
1.88224E+12,Mr.,Bruce,Payne,61,SN76 0WP,Married-civ-spouse,HS-grad,Health physicist,9,12,3,9,0,thorpeanna@armstrong.com,No
4.79289E+12,,Ross,Poole,27,EH18 5XU,Never-married,Some-college,Event organiser,6,13,9,2,1,philton@black-collier.com,No
1.00501E+12,,Liam,Hill,19,EH9 5TY,Never-married,Some-college,"Conservation officer, historic buildings",8,13,3,5,0,xrichards@jones.com,No
9.02953E+12,Mrs.,Phillip,Ali,45,SN9G 8YJ,Never-married,Assoc-voc,Vice Chancellor,16,14,8,8,0,laura58@hughes-robinson.com,Yes
4.77815E+12,Mr.,Billy,Marsden,70,EH0 8EU,Never-married,Some-college,Dealer,5,13,9,1,0,irenejones@taylor.com,No
6.46346E+12,,Jason,Owen,31,EH9E 9ZW,Never-married,HS-grad,Technical brewer,6,12,10,4,1,rosssutton@hart.info,No
4.34875E+12,Mr.,Terence,Francis,22,EH34 0LU,Married-civ-spouse,Some-college,Clinical psychologist,8,13,6,6,0,jennifer48@russell.com,No
2.31403E+12,Miss,Ross,Bentley,36,EH4D 0HS,Widowed,HS-grad,Lecturer,13,12,3,9,1,rileyemily@austin.com,No
6.60289E+12,Mr.,Howard,Frost,64,EH4 4PB,Married-civ-spouse,11th,Database administrator,4,9,9,2,0,diana16@mccarthy-winter.com,No
7.27917E+12,Ms.,Jonathan,Berry,43,EH7H 1BW,Divorced,Some-college,Building control surveyor,7,13,7,6,1,jsmith@thomas.com,No
2.37794E+12,,Gavin,Wood,47,EH74 7UD,Divorced,Some-college,"Development worker, international aid",4,13,4,9,0,marcanderson@cole-carr.com,No
4.45338E+12,Miss,Max,Hart,34,EH2U 5HE,Never-married,HS-grad,Tutor,6,12,7,2,0,elliotaustin@gill.com,No
8.42197E+12,Miss,Aaron,Marshall,33,EH6R 8ZR,Never-married,Bachelors,Hotel manager,4,17,2,2,1,tinacoles@skinner-hutchinson.biz,No
5.69975E+12,,Martyn,Hall,21,EH0C 1HH,Never-married,HS-grad,Human resources officer,4,12,2,2,0,john34@hayes.com,No
7.99133E+12,,Ashley,Ahmed,52,EH3J 9AN,Divorced,HS-grad,Games developer,9,12,1,5,0,smithjoel@shaw.com,No
2.49073E+12,,Ross,Martin,48,OX15 7XS,Married-civ-spouse,HS-grad,Museum education officer,16,12,4,2,0,pfitzgerald@white.com,No
7.96823E+12,,Edward,Houghton,23,EH9T 2FT,Never-married,Bachelors,Accommodation manager,7,17,8,8,0,dcooper@sheppard.com,No
5.3683E+12,,Brandon,Evans,71,EH76 1DT,Separated,Some-college,Firefighter,1,13,10,2,0,wjames@jones-ryan.org,No
7.51458E+12,Mr.,Gordon,Rice,29,BS5 3BE,Divorced,HS-grad,Estate agent,5,12,5,5,1,lesley37@berry.com,No
6.97834E+12,,Dennis,Doherty,42,EH6 3UQ,Separated,Bachelors,Call centre manager,8,17,4,2,0,emmahammond@macdonald.com,No
8.68177E+12,Ms.,George,Nicholson,68,EH3 9FG,Divorced,1st-4th,Academic librarian,9,3,6,8,1,rachael13@richards-lewis.net,No
1.07106E+12,Mrs.,Gary,King,25,EH3 0DU,Never-married,HS-grad,Insurance claims handler,12,12,4,6,0,ronald85@bentley.com,No
1.57351E+12,Miss,Henry,Wright,44,EH66 9RH,Divorced,Masters,Field seismologist,7,18,2,6,1,patricia66@anderson.com,No
8.35407E+12,,Bruce,Bentley,28,EH2 1WE,Never-married,HS-grad,"Research officer, trade union",13,12,1,9,0,alicejennings@white-crawford.info,No
6.02918E+12,Dr.,Lawrence,Clarke,45,GL16 9RA,Married-civ-spouse,Masters,Head of Data Science,17,18,4,8,0,wmarshall@george.com,No
8.09926E+12,Ms.,Brian,Browne,36,EH75 3LB,Divorced,Some-college,Fine artist,2,13,1,5,1,hnicholson@griffiths.info,No
4.31301E+12,,Jonathan,Armstrong,39,EH8P 0ZP,Never-married,Assoc-acdm,"Journalist, newspaper",7,16,8,6,0,ruthjohnson@robinson-haynes.biz,No
4.37851E+12,Mr.,Benjamin,Hughes,46,EH1 2PL,Widowed,Masters,Futures trader,15,18,7,9,0,fnewman@curtis.com,No
5.20997E+12,Mr.,Mohamed,Robinson,18,EH15 1BX,Never-married,11th,"Education officer, community",6,9,1,3,0,begummarc@gordon.com,No
8.9074E+12,Miss,Charles,Hughes,66,EH3P 1FR,Widowed,Assoc-voc,"Copywriter, advertising",1,14,4,3,1,davisellie@turner.com,No
5.81443E+12,,Jake,Franklin,27,EH10 5LE,Never-married,HS-grad,Construction Worker,1,12,8,4,0,greenwoodreece@brown.com,No
5.8447E+12,,Gordon,Turnbull,28,FK78 9RJ,Married-civ-spouse,HS-grad,Amenity horticulturist,6,12,6,6,0,tellis@thomas.com,No
3.62547E+12,,Gary,Smith,51,SN5A 3XU,Married-civ-spouse,Some-college,Microbiologist,8,13,4,7,1,phillipshollie@doyle-parkinson.com,Yes
9.62889E+12,Mr.,Maurice,Smith,27,OX42 0AY,Never-married,Bachelors,Theatre director,12,17,7,1,1,lwells@bird.net,No
5.10373E+12,,Dominic,Ward,28,EH1 4AF,Married-civ-spouse,Bachelors,Graphic designer,9,17,6,7,1,oyoung@nolan-watts.com,No
1.24082E+12,Ms.,Aaron,Williams,27,EH8U 8ND,Married-spouse-absent,HS-grad,Translator,4,12,7,1,0,dennis57@price.info,No
6.34107E+12,,Geoffrey,Simmons,21,EH9T 9GU,Never-married,HS-grad,Insurance claims handler,12,12,4,1,0,ubennett@pickering.com,No
2.16187E+12,,Gavin,Ford,34,EH8C 4TP,Never-married,HS-grad,Land/geomatics surveyor,2,12,7,6,1,jemmacampbell@dawson-roberts.com,No
9.12887E+12,,Albert,Brookes,18,EH3E 3BF,Never-married,HS-grad,"Designer, interior/spatial",4,12,3,7,0,christopherfisher@harris.com,No
3.84148E+12,,Russell,Dale,33,SN4D 9AG,Married-civ-spouse,Bachelors,"Designer, fashion/clothing",9,17,9,4,1,fergusonteresa@brown-williamson.com,No
